#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres
19,INSITUT SUPERIEUR D'INGENIERIE ET DE SANTE YAMOUSSOUKRO -(ISIS YAMOUSSOUKRO),YAMOUSSOUKRO,YAMOUSSOUKRO,0,85 000 F,859
20,INSTITIES-LE CAMPUS COCODY_UNIVERSITEUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS COCODY -(IES-LE CAMPUS COCODY),ABIDJAN,,0,,1060
21,INSTITUT CATHOLIQUE MISSIONNAIRE D'ABIDJAN -(ICMA),ABIDJAN,ABOBO,0,,1009
22,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS COCODY_UNIVERSITE -(IES-LE CAMPUS COCODY_UNIVERSITE),ABIDJAN,COCODY,0,,1028
23,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS MAN_UNIVERSITE -(IES-LE CAMPUS MAN_UNIVERSITE),MAN,MAN,0,,1029
24,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS YOPOUGON_UNIVERSITE -(IES-LE CAMPUS YOPOUGON_UNIVERSITE),ABIDJAN,YOPOUGON,0,,1017
25,INSTITUT DE MANAGEMENT ET DES TECHNOLOGIES -(IMAT),ABIDJAN,COCODY,0,100.000 FCFA,1019
26,INSTITUT EUROPEEN DES AFFAIRES -(IEA-ABIDJAN),ABIDJAN,COCODY,0,,1010
27,INSTITUT IES-LE CAMPUS COCODY_UNIVERSITESUPERIEUR LE CAMPUS COCODY -(IES-LE CAMPUS COCODY),ABIDJAN,COCODY,0,,1059
28,INSTITUT IVOIRIEN DE TECHNOLOGIE -(IIT),BASSAM,BASSAM,0,50 000F CFA,858
29,INSTITUT SUPERIEUR D'INGENIERIE ET DE SANTE COCODY -(ISIS COCODY),ABIDJAN,COCODY,0,85000,699
30,INSTITUT SUPERIEUR UNIVERSITAIRE POLYTECHNIQUE ACKA EWADJO CECILE -(ISUPEC),GRAND LAHOU,GRAND LAHOU,0,140 000 F,1032
31,INSTITUT UNIVERSITAIRE D'ABIDJAN -(IUA),ABIDJAN,COCODY,0,,525
32,INSTITUT UNIVERSITAIRE D'ABIDJAN-BLUETOOTH -(IUA-BLUETOOTH),ABIDJAN,COCODY,0,,1006
33,INSTITUT UNIVERSITAIRE D'ABIDJAN-BONOUMIN -(IUA-BONOUMIN),ABIDJAN,COCODY,0,,1007
34,INSTITUT UNIVERSITAIRE D'ABIDJAN-ZINSOU -(IUA-ZINSOU),ABIDJAN,COCODY,0,,1008
35,INSTITUT UNIVERSITAIRE DES SCIENCES ECONOMIQUES JURIDIQUES ET DU DEVELOPPEMENT DURABLE (IUSEJDD),ABIDJAN,COCODY,0,,954
36,"INSTITUT UNIVERSITAIRE DES SCIENCES ECONOMIQUES, JURIDIQUES ET DU DEVELOPPEMENT DURABLE -(IUSEJ2D)",ABIDJAN,COCODY,0,,1026
37,INSTITUT UNIVERSITAIRE DU SUD -(IUS),JACQUEVILLE,JACQUEVILLE,0,,1022
38,INSTITUT UNIVERSITAIRE FRED ET POPPEE,ABIDJAN,COCODY,0,225.000 F,1065
39,INSTITUT UNIVERSITAIRE POLYTECHNIQUE D'ABIDJAN YOPOUGON_UNIVERSITE -(IUPA YOPOUGON_UNIVERSITE),ABIDJAN,YOPOUGON,0,,1054
40,INSTITUT UNIVERSITAIRE PROFESSIONNALISE (IUP),ABIDJAN,COCODY,0,,1058
41,INSTITUTION UNIVERSITAIRE TECHNOLOGIQUE EUDISTE D'AFRIQUE (IUTEA),ABIDJAN,YOPOUGON,0,,2100
42,Institut International Polytechnique des Elites d'Abidjan COCODY -(IIPEA COCODY),ABIDJAN,COCODY,0,,1018
43,Institut Universitaire Saint Jean-Paul II (IUSJP2),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,1001
44,POLE D'EXCELLENCE ET DE SPECIALISATIONS (PES),ABIDJAN,COCODY,0,215 000 F,1057
45,POLYTECH ABIDJAN,ABIDJAN,COCODY,0,55000,226
46,RUSTA UNIVERSITE -(RUSTA UNIVERSITE),ABIDJAN,COCODY,0,450 000 Licence classique / 700 000 Licence Pro,1004
47,RUSTA UNIVERSITE ANNEXE DE BOUAKE,BOUAKE,BOUAKE,0,85000,999
48,SEEKA UNIVERSITY -(Seeka U),YAMOUSSOUKRO,YAMOUSSOUKRO,0,100 000 F,2049
49,SWISS UMEF UNIVERSITY OF COTE D'IVOIRE -(UMEF),ABIDJAN,COCODY,0,115 000 F,1015
50,TALENT SCHOOL OF BUSINESS (TSB),ABIDJAN,COCODY,0,,853
51,TG MASTER-UNIVERSITY -(TGM-U),ABIDJAN,COCODY,0,,1024
52,UNIVERSITE ADAMA SANOGO -(UAS),ABIDJAN,ABOBO,0,0,522
53,UNIVERSITE BILINGUE LA CORNICHE -(UBC),ABIDJAN,COCODY,0,,1034
54,UNIVERSITE CATHOLIQUE D'AFRIQUE DE L'OUEST-UNITE UNIVERSITAIRE D'ABIDAJN -(UCAO-UUA),ABIDJAN,COCODY,0,230.000 FCFA,526
55,UNIVERSITE CENTRALE CHAARE TSEDEK -(UCC),DALOA,DALOA,0,100 000 F CFA,2053
